project_name,location,location_map,location_match,location_corrected
81 Newport BLVD,"Pasay, Metro Manila","Barangay 183, Pasay, Metro Manila",TRUE,
The Palm Tree 2,"Pasay, Metro Manila","Malate, Manila, Metro Manila",FALSE,"Pasay, Metro Manila"
Greenbelt Hamilton Tower 2,"Makati, Metro Manila","San Lorenzo, Makati, Metro Manila",TRUE,
The Palm Tree,"Pasay, Metro Manila","Barangay 183, Pasay, Metro Manila",TRUE,
Paseo Heights,"Makati, Metro Manila","Urdaneta, Makati, Metro Manila",TRUE,
Salcedo Skysuites,"Makati, Metro Manila","Bel-Air, Makati, Metro Manila",TRUE,
Three Central,"Makati, Metro Manila","Bel-Air, Makati, Metro Manila",TRUE,
Viceroy,"Taguig, Metro Manila","Bagong Tanyag, Taguig, Metro Manila",TRUE,
The Florence,"Taguig, Metro Manila","McKinley Hill, Taguig, Metro Manila",TRUE,
Uptown Parksuites,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",TRUE,
Avida Towers One Union Place,"Taguig, Metro Manila","Metro Manila, Taguig, Western Bicutan",FALSE,"Taguig, Metro Manila"
The Venice,"Taguig, Metro Manila","Bagong Tanyag, Taguig, Metro Manila",TRUE,
GOLFHILL GARDENS,"Quezon City, Metro Manila","Ramon Magsaysay, Quezon City, Metro Manila",TRUE,
Avida Towers Astrea,"Quezon City, Metro Manila","Metro Manila, Quezon City, Fairview",FALSE,"Novaliches, Quezon City, Metro Manila"
Bay Garden,"Pasay, Metro Manila","Barangay 76, Pasay, Metro Manila",TRUE,
Escalades East Tower,"Quezon City, Metro Manila","Pasong Tamo, Quezon City, Metro Manila",TRUE,
The Parkside Villas,"Pasay, Metro Manila","Barangay 183, Pasay, Metro Manila",TRUE,
Trees Residences,"Quezon City, Metro Manila","Kaligayahan, Quezon City, Metro Manila",TRUE,
Sun Residences,"Quezon City, Metro Manila","Salvacion, Quezon City, Metro Manila",TRUE,
Shore Residences,"Pasay, Metro Manila","Barangay 76, Pasay, Metro Manila",TRUE,
Shine Residences,"Pasig, Metro Manila","Ugong, Pasig, Metro Manila",TRUE,
Shell Residences,"Pasay, Metro Manila","Barangay 76, Pasay, Metro Manila",TRUE,
Mezza 2 Residences,"Quezon City, Metro Manila","Doña Imelda, Quezon City, Metro Manila",TRUE,
M Place Residences,"Quezon City, Metro Manila","South Triangle, Quezon City, Metro Manila",TRUE,
Princeton Residences,"Quezon City, Metro Manila","Mariana, Quezon City, Metro Manila",TRUE,
Sea Residences SMDC,"Pasay, Metro Manila","Barangay 76, Pasay, Metro Manila",TRUE,
Mezza Residences,"Quezon City, Metro Manila","Kaunlaran, Quezon City, Metro Manila",TRUE,
Light Residences,"Mandaluyong, Metro Manila","Addition Hills, Mandaluyong, Metro Manila",TRUE,
Grace Residences,"Taguig, Metro Manila","Bagong Tanyag, Taguig, Metro Manila",TRUE,
Chateau Residences,"Parañaque, Metro Manila","Don Bosco, Parañaque, Metro Manila",TRUE,
Breeze Residences,"Pasay, Metro Manila","Barangay 76, Pasay, Metro Manila",TRUE,
Times Square West,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",TRUE,
Madison Park,"Taguig, Metro Manila","Bagong Tanyag, Taguig, Metro Manila",TRUE,
One Wilson Square,"San Juan, Metro Manila","Greenhills, San Juan, Metro Manila",TRUE,
Central Park West,"Pateros, Metro Manila","BGC, Taguig, Metro Manila",FALSE,"BGC, Taguig, Metro Manila"
Six Senses,"Pasay, Metro Manila","Malate, Manila, Metro Manila",FALSE,"Bay Area, Pasay, Metro Manila"
Grand Hyatt Manila Residences,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",TRUE,
The Grand Midori Ortigas,"Pasig, Metro Manila","San Antonio, Pasig, Metro Manila",TRUE,
Four Season Riviera,"Manila, Metro Manila","Binondo, Manila, Metro Manila",TRUE,
Senta,"Makati, Metro Manila","San Lorenzo, Makati, Metro Manila",TRUE,
The Capital,"Quezon City, Metro Manila","E. Rodriguez, Quezon City, Metro Manila",TRUE,
Paseo De Roces,"Makati, Metro Manila","Pio Del Pilar, Makati, Metro Manila",TRUE,
Celadon Park,"Manila, Metro Manila","Santa Cruz, Manila, Metro Manila",TRUE,
Oriental Garden,"Makati, Metro Manila","Pio Del Pilar, Makati, Metro Manila",TRUE,
The Proscenium at Rockwell,"Makati, Metro Manila","Poblacion, Makati, Metro Manila",TRUE,
Jazz Residences,"Makati, Metro Manila","Bel-Air, Makati, Metro Manila",TRUE,
Green Residences,"Manila, Metro Manila","Malate, Manila, Metro Manila",TRUE,
Blue Residences,"Quezon City, Metro Manila","Apad, Quezon, Quezon",FALSE,"Quezon City, Metro Manila"
Field Residences,"Parañaque, Metro Manila","San Dionisio, Parañaque, Metro Manila",TRUE,
The Sandstone at Portico,"Pasig, Metro Manila","Oranbo, Pasig, Metro Manila",TRUE,
Fame Residences,"Mandaluyong, Metro Manila","Highway Hills, Mandaluyong, Metro Manila",TRUE,
Air Residences,"Makati, Metro Manila","San Antonio, Makati, Metro Manila",TRUE,
Escalades at 20th Avenue,"Quezon City, Metro Manila","Pasong Tamo, Quezon City, Metro Manila",TRUE,
Gateway Garden Ridge,"Mandaluyong, Metro Manila","Plainview, Mandaluyong, Metro Manila",TRUE,
The Pearl Place,"Pasig, Metro Manila","Metro Manila, Pasig",FALSE,"Pasig, Metro Manila"
City Place,"Manila, Metro Manila","San Nicolas, Manila, Metro Manila",TRUE,
Sarasota,"Pasay, Metro Manila","Barangay 183, Pasay, Metro Manila",TRUE,
One Central,"Makati, Metro Manila","Urdaneta, Makati, Metro Manila",TRUE,
8 Forbestown Centre,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",TRUE,
Vista 309 Katipunan,"Quezon City, Metro Manila","Loyola Heights, Quezon City, Metro Manila",TRUE,
Vista Taft,"Manila, Metro Manila","Malate, Manila, Metro Manila",TRUE,
Camella Glenmont,"Quezon City, Metro Manila","Metro Manila, Quezon City, Sauyo",FALSE,"Novaliches, Quezon City, Metro Manila"
Morgan Suites,"Taguig, Metro Manila","Pinagsama, Taguig, Metro Manila",TRUE,
115 Upper Mckinley,"Taguig, Metro Manila","Forbes Park North, Makati, Metro Manila",FALSE,"Taguig, Metro Manila"
One Central Park,"Taguig, Metro Manila","Bagumbayan, Quezon City, Metro Manila",FALSE,"Eastwood City, Quezon City, Metro Manila"
Salcedo Square,"Makati, Metro Manila","San Lorenzo, Makati, Metro Manila",TRUE,
Vista Shaw,"Mandaluyong, Metro Manila","Addition Hills, Mandaluyong, Metro Manila",TRUE,
Mosaic,"Makati, Metro Manila","Valenzuela, Makati, Metro Manila",TRUE,
The Symphony Towers,"Quezon City, Metro Manila","Binagbag, Agdangan, Quezon",FALSE,"Quezon City, Metro Manila"
The Currency,"Pasig, Metro Manila","San Antonio, Pasig, Metro Manila",TRUE,
Laureano Di Trevi,"Makati, Metro Manila","Pio Del Pilar, Makati, Metro Manila",TRUE,
Crown Tower,"Manila, Metro Manila","Manila, Metro Manila",TRUE,
KL Tower,"Makati, Metro Manila","Valenzuela, Makati, Metro Manila",TRUE,
Avant at The Fort,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",TRUE,
Sorrento Oasis,"Pasig, Metro Manila","Rosario, Pasig, Metro Manila",TRUE,
Maui Oasis,"Pasig, Metro Manila","Maybunga, Pasig, Metro Manila",TRUE,
Capri Oasis,"Pasig, Metro Manila","Maybunga, Pasig, Metro Manila",TRUE,
Bali Oasis Phase 2,"Pasig, Metro Manila","Santolan, Pasig, Metro Manila",TRUE,
