project_name,location,full_address,latitude,longitude
Central Park West,"BGC, Taguig, Metro Manila","Central Park West, BGC, Taguig, Metro Manila, Philippines",14.5582999,121.0517219
Six Senses,"Malate, Manila, Metro Manila","Six Senses, Malate, Manila, Metro Manila, Philippines",14.6102858,120.9680869
Grand Hyatt Manila Residences,"BGC, Taguig, Metro Manila","Grand Hyatt Manila Residences, BGC, Taguig, Metro Manila, Philippines",14.5575286,121.052148
The Grand Midori Ortigas,"San Antonio, Pasig, Metro Manila","The Grand Midori Ortigas, San Antonio, Pasig, Metro Manila, Philippines",14.5834474,121.0616683
Four Season Riviera,"Binondo, Manila, Metro Manila","Four Season Riviera, Binondo, Manila, Metro Manila, Philippines",14.5964609,120.9731022
Senta,"San Lorenzo, Makati, Metro Manila","Senta, San Lorenzo, Makati, Metro Manila, Philippines",14.5549166,121.0169081
The Capital,"E. Rodriguez, Quezon City, Metro Manila","The Capital, E. Rodriguez, Quezon City, Metro Manila, Philippines",14.633254,121.018895
Paseo De Roces,"Pio Del Pilar, Makati, Metro Manila","Paseo De Roces, Pio Del Pilar, Makati, Metro Manila, Philippines",14.5563198,121.0135698
Celadon Park,"Santa Cruz, Manila, Metro Manila","Celadon Park, Santa Cruz, Manila, Metro Manila, Philippines",14.6196084,120.985891
Oriental Garden,"Pio Del Pilar, Makati, Metro Manila","Oriental Garden, Pio Del Pilar, Makati, Metro Manila, Philippines",14.5585897,121.0123367
The Proscenium at Rockwell,"Poblacion, Makati, Metro Manila","The Proscenium at Rockwell, Poblacion, Makati, Metro Manila, Philippines",14.5661112,121.0387092
Jazz Residences,"Bel-Air, Makati, Metro Manila","Jazz Residences, Bel-Air, Makati, Metro Manila, Philippines",14.563092,121.0218149
Green Residences,"Malate, Manila, Metro Manila","Green Residences, Malate, Manila, Metro Manila, Philippines",14.5678088,120.9925388
Blue Residences,"Apad, Quezon, Quezon","Blue Residences, Apad, Quezon, Quezon, Philippines",14.0454245,122.1020397
Field Residences,"San Dionisio, Parañaque, Metro Manila","Field Residences, San Dionisio, Parañaque, Metro Manila, Philippines",14.4813862,120.9928326
The Sandstone at Portico,"Oranbo, Pasig, Metro Manila","The Sandstone at Portico, Oranbo, Pasig, Metro Manila, Philippines",14.5744864,121.065444
Fame Residences,"Highway Hills, Mandaluyong, Metro Manila","Fame Residences, Highway Hills, Mandaluyong, Metro Manila, Philippines",14.577868,121.0520959
Air Residences,"San Antonio, Makati, Metro Manila","Air Residences, San Antonio, Makati, Metro Manila, Philippines",14.5623517,121.0145708
Escalades at 20th Avenue,"Pasong Tamo, Quezon City, Metro Manila","Escalades at 20th Avenue, Pasong Tamo, Quezon City, Metro Manila, Philippines",14.6793833,121.0593087
Gateway Garden Ridge,"Plainview, Mandaluyong, Metro Manila","Gateway Garden Ridge, Plainview, Mandaluyong, Metro Manila, Philippines",14.5794443,121.0359174
The Pearl Place,"Metro Manila, Pasig","The Pearl Place, Metro Manila, Pasig, Philippines",14.579206,121.05949
City Place,"San Nicolas, Manila, Metro Manila","City Place, San Nicolas, Manila, Metro Manila, Philippines",14.6046363,120.9726869
Sarasota,"Barangay 183, Pasay, Metro Manila","Sarasota, Barangay 183, Pasay, Metro Manila, Philippines",14.5224763,121.0160696
One Central,"Urdaneta, Makati, Metro Manila","One Central, Urdaneta, Makati, Metro Manila, Philippines",14.5557562,121.0292097
8 Forbestown Centre,"BGC, Taguig, Metro Manila","8 Forbestown Centre, BGC, Taguig, Metro Manila, Philippines",14.5518382,121.0440563
Vista 309 Katipunan,"Loyola Heights, Quezon City, Metro Manila","Vista 309 Katipunan, Loyola Heights, Quezon City, Metro Manila, Philippines",14.6383382,121.0742969
Vista Taft,"Malate, Manila, Metro Manila","Vista Taft, Malate, Manila, Metro Manila, Philippines",14.5628972,120.9946655
Camella Glenmont,"Metro Manila, Quezon City, Sauyo","Camella Glenmont, Metro Manila, Quezon City, Sauyo, Philippines",14.6941708,121.0535484
Morgan Suites,"Pinagsama, Taguig, Metro Manila","Morgan Suites, Pinagsama, Taguig, Metro Manila, Philippines",14.5331541,121.049065
115 Upper Mckinley,"Forbes Park North, Makati, Metro Manila","115 Upper Mckinley, Forbes Park North, Makati, Metro Manila, Philippines",14.5384933,121.0536581
One Central Park,"Bagumbayan, Quezon City, Metro Manila","One Central Park, Bagumbayan, Quezon City, Metro Manila, Philippines",14.6108772,121.0794294
Salcedo Square,"San Lorenzo, Makati, Metro Manila","Salcedo Square, San Lorenzo, Makati, Metro Manila, Philippines",14.553294,121.025582
Vista Shaw,"Addition Hills, Mandaluyong, Metro Manila","Vista Shaw, Addition Hills, Mandaluyong, Metro Manila, Philippines",14.5882873,121.0460084
Mosaic,"Valenzuela, Makati, Metro Manila","Mosaic, Valenzuela, Makati, Metro Manila, Philippines",14.571361,121.0241925
The Symphony Towers,"Binagbag, Agdangan, Quezon","The Symphony Towers, Binagbag, Agdangan, Quezon, Philippines",13.8589435,121.9416226
The Currency,"San Antonio, Pasig, Metro Manila","The Currency, San Antonio, Pasig, Metro Manila, Philippines",14.5845844,121.0620632
Laureano Di Trevi,"Pio Del Pilar, Makati, Metro Manila","Laureano Di Trevi, Pio Del Pilar, Makati, Metro Manila, Philippines",14.5490105,121.01389
