REGION, INSTITUTION NAME, INSTITUTION TYPE, PROVINCE, MUNICIPALITY/CITY,FULL_ADDRESS,cleaned_query,fallback_query,lat,lon,geocode_provider,formatted_address,quality_note
13 - Nat. Capital Region,South CompEdge College,Private,Metro Manila,City of Parañaque,"South CompEdge College, City of Parañaque",south compedge college city of paranaque metro manila philippines,,14.529923,120.996938,google,"260, 1702 Quirino Ave, Parañaque, 1702 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,United Christian Academy College of Asia,Private,Metro Manila,City of Parañaque,"United Christian Academy College of Asia, City of Parañaque",united christian academy college of asia city of paranaque metro manila philippines,"United Christian Academy College of Asia, City of Parañaque, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Colegio de Muntinlupa,LUC,Metro Manila,City of Muntinlupa,"Colegio de Muntinlupa, City of Muntinlupa",colegio de muntinlupa city of muntinlupa metro manila philippines,,14.4576702,121.0507301,google,"Mayor J.Posadas Ave, Muntinlupa, 1770 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Parañaque City College,LUC,Metro Manila,City of Parañaque,"Parañaque City College, City of Parañaque",paranaque city college city of paranaque metro manila philippines,,14.4918213,120.9863619,google,"Coastal Road, cor Victor Medina, Parañaque, 1700 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,ACLC College of Commonwealth,Private,Metro Manila,Quezon City,"ACLC College of Commonwealth, Quezon City",aclc college of commonwealth quezon city metro manila philippines,,14.6786857,121.0828801,google,"Block 11 Lot 31, Lirio 1 Building, Commonwealth Ave, Quezon City, 1126 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,ACLC College of Manila,Private,Metro Manila,City of Manila,"ACLC College of Manila, City of Manila",aclc college of manila city of manila metro manila philippines,"ACLC College of Manila, City of Manila, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,FEU Diliman,Private,Metro Manila,Quezon City,"FEU Diliman, Quezon City",feu diliman quezon city metro manila philippines,,14.6852744,121.0644142,google,"Sampaguita Avenue, Mapayapa Village III, Quezon City, 1101 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,NU Fairview,Private,Metro Manila,Quezon City,"NU Fairview, Quezon City",nu fairview quezon city metro manila philippines,,14.7329749,121.0603167,google,"SM Fairview Complex, Quirino Hwy, corner Regalado Hwy, Quezon City, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,St. Francis Technical Institute,Private,Metro Manila,City of Caloocan,"St. Francis Technical Institute, City of Caloocan",street. francis technical institute city of caloocan metro manila philippines,"St. Francis Technical Institute, City of Caloocan, Metro Manila, Philippines",14.745434,121.0536429,google,"5604 Zapote Rd, Caloocan, Metro Manila, Philippines",FALLBACK_FULL|ROOFTOP
13 - Nat. Capital Region,Mandaluyong College of Science and Technology,LUC,Metro Manila,City of Mandaluyong,"Mandaluyong College of Science and Technology, City of Mandaluyong",mandaluyong college of science and technology city of mandaluyong metro manila philippines,,14.5844398,121.0348649,google,"Welfareville Compound, Mandaluyong City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Iglesia ni Cristo (Church of Christ) School for Ministers,Private,Metro Manila,Quezon City,"Iglesia ni Cristo (Church of Christ) School for Ministers, Quezon City",iglesia ni cristo (church of christ) school for ministers quezon city metro manila philippines,"Iglesia ni Cristo (Church of Christ) School for Ministers, Quezon City, Metro Manila, Philippines",,,,,
