REGION, INSTITUTION NAME, INSTITUTION TYPE, PROVINCE, MUNICIPALITY/CITY,FULL_ADDRESS,cleaned_query,fallback_query,lat,lon,geocode_provider,formatted_address,quality_note
13 - Nat. Capital Region,ABE International College of Business and Economics-Manila,Private,Metro Manila,City of Manila,"ABE International College of Business and Economics-Manila, City of Manila",abe international college of business and economics-manila city of manila metro manila philippines,"ABE International College of Business and Economics-Manila, City of Manila, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,AMA Computer College-Caloocan,Private,Metro Manila,City of Caloocan,"AMA Computer College-Caloocan, City of Caloocan",ama computer college-caloocan city of caloocan metro manila philippines,,14.6576626,120.9775632,google,"Caimito Road, MX5H+328, Samson Rd, Caloocan, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,AMA Computer College-Fairview,Private,Metro Manila,Quezon City,"AMA Computer College-Fairview, Quezon City",ama computer college-fairview quezon city metro manila philippines,,14.7202823,121.0614798,google,"Lot 10 bll, 83 Regalado Hwy, Quezon City, 1110 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,AMA Computer College-Parañaque,Private,Metro Manila,City of Parañaque,"AMA Computer College-Parañaque, City of Parañaque",ama computer college-paranaque city of paranaque metro manila philippines,,14.4725528,121.0046824,google,"Sok-Kee Bldg, Dr Arcadio Santos Ave, San Isidro, Sucat, Parañaque, 1700 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,AMA Computer College-Sta. Mesa,Private,Metro Manila,City of Manila,"AMA Computer College-Sta. Mesa, City of Manila",ama computer college-sta. mesa city of manila metro manila philippines,,14.6000004,121.0166702,google,"3299 Magsaysay Blvd cor. Maganda St., Sta. Mesa, Manila, Santa Mesa, Manila, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Divine Mercy College Foundation,Private,Metro Manila,City of Caloocan,"Divine Mercy College Foundation, City of Caloocan",divine mercy college foundation city of caloocan metro manila philippines,,14.6611807,120.9795037,google,"129 J.P. Bautista Ave, Caloocan, 1400 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Interface Computer College-Caloocan,Private,Metro Manila,City of Caloocan,"Interface Computer College-Caloocan, City of Caloocan",interface computer college-caloocan city of caloocan metro manila philippines,,14.651052,120.983116,google,"298 J.Teodoro, Grace Park West, Caloocan, 1406 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Our Lady of Fatima University-Quezon City,Private,Metro Manila,Quezon City,"Our Lady of Fatima University-Quezon City, Quezon City",our lady of fatima university-quezon city quezon city metro manila philippines,,14.6778026,120.9803044,google,"120 MacArthur Hwy, Valenzuela, 1440 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Our Lady of Lourdes Technological College,Private,Metro Manila,Quezon City,"Our Lady of Lourdes Technological College, Quezon City",our lady of lourdes technological college quezon city metro manila philippines,,14.7203379,121.0279378,google,"P2CH+45P, General Luis, Novaliches, Quezon City, 1125 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,St. Clare College of Caloocan,Private,Metro Manila,City of Caloocan,"St. Clare College of Caloocan, City of Caloocan",street. clare college of caloocan city of caloocan metro manila philippines,"St. Clare College of Caloocan, City of Caloocan, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,STI College-Las Piñas,Private,Metro Manila,City of Las Piñas,"STI College-Las Piñas, City of Las Piñas",sti college-las pinas city of las pinas metro manila philippines,,14.4499727,120.9811623,google,"STI Academic Center, Alabang-Zapote Road, corner V.Guinto, Las Piñas, 1740 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Dr. Filemon C. Aguilar Memorial College of Las Piñas,LUC,Metro Manila,City of Las Piñas,"Dr. Filemon C. Aguilar Memorial College of Las Piñas, City of Las Piñas",dr. filemon c. aguilar memorial college of las pinas city of las pinas metro manila philippines,,14.4388401,121.0094764,google,"Golden Gate Basketball Court, Topland Ave, Las Piñas, 1747 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Asia Graduate School of Theology,Private,Metro Manila,Quezon City,"Asia Graduate School of Theology, Quezon City",asia graduate school of theology quezon city metro manila philippines,,14.6350543,121.0384971,google,"54 Sct. Madriñan St, Diliman, Quezon City, 1103 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,AMA Computer College-Las Piñas,Private,Metro Manila,City of Las Piñas,"AMA Computer College-Las Piñas, City of Las Piñas",ama computer college-las pinas city of las pinas metro manila philippines,,14.4346539,121.0114715,google,"AC & Sons Building, Alabang–Zapote Rd, Las Piñas, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,AMA Computer College-Pasig City,Private,Metro Manila,City of Pasig,"AMA Computer College-Pasig City, City of Pasig",ama computer college-pasig city city of pasig metro manila philippines,"AMA Computer College-Pasig City, City of Pasig, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Pamantasan ng Lungsod ng Pasig,LUC,Metro Manila,City of Pasig,"Pamantasan ng Lungsod ng Pasig, City of Pasig",pamantasan ng lungsod ng pasig city of pasig metro manila philippines,,14.5620941,121.07475,google,"12-B Alcalde Jose, Pasig, 1600 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Wesleyan College of Manila,Private,Metro Manila,Pasay City,"Wesleyan College of Manila, Pasay City",wesleyan college of manila pasay city metro manila philippines,,14.56009,120.993062,google,"1706 Leveriza St, Manila, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Loral Douglas Woosley Bethany Colleges,Private,Metro Manila,City of Makati,"Loral Douglas Woosley Bethany Colleges, City of Makati",loral douglas woosley bethany colleges city of makati metro manila philippines,,14.5562453,121.0038723,google,"1716 Dian Street, corner Emilia, Makati City, 1235 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,STI College-Marikina,Private,Metro Manila,City of Marikina,"STI College-Marikina, City of Marikina",sti college-marikina city of marikina metro manila philippines,,14.650117,121.105867,google,"M424+393, 2 L. De Guzman St, Marikina, 1807 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,IETI College of Science and Technology-Marikina,Private,Metro Manila,City of Marikina,"IETI College of Science and Technology-Marikina, City of Marikina",ieti college of science and technology-marikina city of marikina metro manila philippines,,14.6343604,121.099728,google,"17, 1800 Lark, Marikina, 1800 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Manila Business College Foundation,Private,Metro Manila,City of Manila,"Manila Business College Foundation, City of Manila",manila business college foundation city of manila metro manila philippines,"Manila Business College Foundation, City of Manila, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Access Computer and Technical Colleges-Manila,Private,Metro Manila,City of Manila,"Access Computer and Technical Colleges-Manila, City of Manila",access computer and technical colleges-manila city of manila metro manila philippines,,14.5783005,121.0,google,"2nd &amp; 3rd Floor ACCESS Main Bldg., C.M. Recto cor. Quezon Blvd., Manila, Quiapo, Manila, Metropolitan Manila First District, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Criminal Justice College,Private,Metro Manila,City of Muntinlupa,"Criminal Justice College, City of Muntinlupa",criminal justice college city of muntinlupa metro manila philippines,,14.3802692,121.046899,google,"79 Jasmine St, Muntinlupa, 1773 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Entrepreneurs School of Asia,Private,Metro Manila,Quezon City,"Entrepreneurs School of Asia, Quezon City",entrepreneurs school of asia quezon city metro manila philippines,,14.6053247,121.0845998,google,"J34M+4RH, Obrero, Quezon City, Kalakhang Maynila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,St. Mary's College,Private,Metro Manila,Quezon City,"St. Mary's College, Quezon City",street. mary's college quezon city metro manila philippines,"St. Mary's College, Quezon City, Metro Manila, Philippines",14.6345623,121.0252828,google,"37 Mother Ignacia Ave, Diliman, Quezon City, 1103 Metro Manila, Philippines",FALLBACK_FULL|ROOFTOP
13 - Nat. Capital Region,ABE International College of Business and Accountancy-Cubao,Private,Metro Manila,Quezon City,"ABE International College of Business and Accountancy-Cubao, Quezon City",abe international college of business and accountancy-cubao quezon city metro manila philippines,"ABE International College of Business and Accountancy-Cubao, Quezon City, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,ABE International College of Business and Economics-Las Piñas,Private,Metro Manila,City of Las Piñas,"ABE International College of Business and Economics-Las Piñas, City of Las Piñas",abe international college of business and economics-las pinas city of las pinas metro manila philippines,"ABE International College of Business and Economics-Las Piñas, City of Las Piñas, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Development Academy of the Philippines,OGS,Metro Manila,City of Pasig,"Development Academy of the Philippines, City of Pasig",development academy of the philippines city of pasig metro manila philippines,,14.5789515,121.0582205,google,"DAP Building, San Miguel Ave, Ortigas Center, Pasig, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,National Christian Life College,Private,Metro Manila,City of Marikina,"National Christian Life College, City of Marikina",national christian life college city of marikina metro manila philippines,,14.6387731,121.0987011,google,"J3QX+F96 Paliparan Subd, 7 1st St, Marikina, 1800 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Global City Innovative College,Private,Metro Manila,City of Makati,"Global City Innovative College, City of Makati",global city innovative college city of makati metro manila philippines,,14.5620941,121.0428327,google,"Annex, Pet Plans Tower, 444 Epifanio de los Santos Ave, Makati City, 1211 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Southville International School and Colleges,Private,Metro Manila,City of Las Piñas,"Southville International School and Colleges, City of Las Piñas",southville international school and colleges city of las pinas metro manila philippines,,14.4550489,120.9950908,google,"1281 Tropical Avenue Corner Luxembourg Street, BF Homes International, Las Piñas, 1740 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Information and Communications Technology Academy,Private,Metro Manila,City of Makati,"Information and Communications Technology Academy, City of Makati",information and communications technology academy city of makati metro manila philippines,,14.5594796,121.0075692,google,"iACADEMY Nexus Campus, 7434 Yakal, Makati City, 1203 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Our Lady of Guadalupe Colleges,Private,Metro Manila,City of Mandaluyong,"Our Lady of Guadalupe Colleges, City of Mandaluyong",our lady of guadalupe colleges city of mandaluyong metro manila philippines,,14.577076,121.049644,google,"H2GX+RVJ, Sierra Madre, Mandaluyong City, 1550 Kalakhang Maynila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Access Computer and Technical Colleges-Cubao,Private,Metro Manila,Quezon City,"Access Computer and Technical Colleges-Cubao, Quezon City",access computer and technical colleges-cubao quezon city metro manila philippines,,14.6272193,121.0614647,google,"941 R-6, Quezon City, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Immaculate Heart of Mary College-Parañaque,Private,Metro Manila,City of Parañaque,"Immaculate Heart of Mary College-Parañaque, City of Parañaque",immaculate heart of mary college-paranaque city of paranaque metro manila philippines,,14.477009,121.0235147,google,"Dominic Savio Street Better Living Subdivision, Parañaque, 1700 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Polytechnic University of the Philippines-Quezon City Campus,SUC,Metro Manila,Quezon City,"Polytechnic University of the Philippines-Quezon City Campus, Quezon City",polytechnic university of the philippines-quezon city campus quezon city metro manila philippines,"Polytechnic University of the Philippines-Quezon City Campus, Quezon City, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Lyceum of Alabang,Private,Metro Manila,City of Muntinlupa,"Lyceum of Alabang, City of Muntinlupa",lyceum of alabang city of muntinlupa metro manila philippines,,14.3730351,121.0474079,google,"Km.30 National Road, Muntinlupa, 1773 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Rogationist Seminary College of Philosophy,Private,Metro Manila,City of Parañaque,"Rogationist Seminary College of Philosophy, City of Parañaque",rogationist seminary college of philosophy city of paranaque metro manila philippines,"Rogationist Seminary College of Philosophy, City of Parañaque, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,La Consolacion College-Pasig,Private,Metro Manila,City of Pasig,"La Consolacion College-Pasig, City of Pasig",la consolacion college-pasig city of pasig metro manila philippines,,14.5678288,121.0956683,google,"La Consolacion College, Frankfurt St, Pasig, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Gardner College Diliman,Private,Metro Manila,Quezon City,"Gardner College Diliman, Quezon City",gardner college diliman quezon city metro manila philippines,"Gardner College Diliman, Quezon City, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,ABE International Business College-Caloocan City,Private,Metro Manila,City of Caloocan,"ABE International Business College-Caloocan City, City of Caloocan",abe international business college-caloocan city city of caloocan metro manila philippines,,14.6568297,120.9852004,google,"328 Epifanio de los Santos Ave, Grace Park East, Caloocan, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,WCC Aeronautical & Technological College-North Manila,Private,Metro Manila,City of Caloocan,"WCC Aeronautical & Technological College-North Manila, City of Caloocan",wcc aeronautical & technological college-north manila city of caloocan metro manila philippines,"WCC Aeronautical & Technological College-North Manila, City of Caloocan, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Informatics College-Northgate,Private,Metro Manila,City of Muntinlupa,"Informatics College-Northgate, City of Muntinlupa",informatics college-northgate city of muntinlupa metro manila philippines,"Informatics College-Northgate, City of Muntinlupa, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Pamantasan ng Lungsod ng Valenzuela,LUC,Metro Manila,City of Valenzuela,"Pamantasan ng Lungsod ng Valenzuela, City of Valenzuela",pamantasan ng lungsod ng valenzuela city of valenzuela metro manila philippines,,14.6940301,120.969399,google,"MXV9+JQ6, Maysan Rd, Valenzuela, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Marie-Bernarde College,Private,Metro Manila,Quezon City,"Marie-Bernarde College, Quezon City",marie-bernarde college quezon city metro manila philippines,,14.631179,121.0078757,google,"48 Sto. Domingo Ave, Quezon City, 1114 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Mary the Queen College of Quezon City,Private,Metro Manila,Quezon City,"Mary the Queen College of Quezon City, Quezon City",mary the queen college of quezon city quezon city metro manila philippines,,14.675289,121.082422,google,"M3GJ+4X7, Dupax St, Quezon City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,St. Bernadette of Lourdes College,Private,Metro Manila,Quezon City,"St. Bernadette of Lourdes College, Quezon City",street. bernadette of lourdes college quezon city metro manila philippines,"St. Bernadette of Lourdes College, Quezon City, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Flight School International,Private,Metro Manila,City of Parañaque,"Flight School International, City of Parañaque",flight school international city of paranaque metro manila philippines,,14.4792927,120.9980956,google,"8155, Andremar Bldg, Dr Arcadio Santos Ave, Parañaque, 1711 Metro Manila, Philippines",CLEANED|ROOFTOP
