title,project_unit,project_name,area,floor_area,price,location,bedrooms,bathrooms,floor,condition,property_type,offer_type,construction_year,parking_spaces,ownership_type,project_link,publish_by
"For Sale: Big Studio Unit in Three Central, Salcedo Village, Makati City",Three Central,Three Central,41 sqm,41 sqm,"₱ 7,400,000","Bel-Air, Makati",1 bedroom,1 bathroom,,Fully furnished,Studio,For Sale,,,,https://www.lamudi.com.ph/projects/three-central/,Line Development Corp
For Sale: Big Studio unit at Three Central in Salcedo Village Makati City,Three Central,Three Central,42 sqm,42 sqm,"₱ 9,800,000","Bel-Air, Makati",1 bedroom,1 bathroom,,Fully furnished,Studio,For Sale,,1,,https://www.lamudi.com.ph/projects/three-central/,Line Development Corp
For Sake Fully furnished 64 sqm 2BR Grand Midori Unit in Makati City,THE GRAND MIDORI MAKATI,THE GRAND MIDORI MAKATI,64 sqm,64 sqm,"₱ 14,500,000","Legazpi Village, Makati",2 bedrooms,,,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/the-grand-midori-makati/,Line Development Corp
"For Sale: Paseo Heights Salcedo Village, Makati City",Paseo Heights,Paseo Heights,30 sqm,30 sqm,"₱ 8,200,000","Urdaneta, Makati",1 bedroom,1 bathroom,,Fully furnished,Studio,For Sale,,,,https://www.lamudi.com.ph/projects/paseo-heights/,Line Development Corp
"FOR Sale: Escala Salcedo (along LP Leviste) Across Jaime Velasquez Park,Makati",Escala Salcedo,Escala Salcedo,51 sqm,51 sqm,"₱ 15,000,000","Bel-Air, Makati",1 bedroom,1 bathroom,,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/escala-salcedo/,Line Development Corp
"FOR SALE:  Shang Salcedo Condo – 104sqm Unit, Makati City",Shang Salcedo Place,Shang Salcedo Place,104 sqm,104 sqm,"₱ 37,000,000","Bel-Air, Makati",2 bedrooms,2 bathrooms,,Unfurnished,Condo,For Sale,,2,,https://www.lamudi.com.ph/projects/shang-salcedo-place/,Line Development Corp
For Sale Studio w/ parking at The Columns Legazpi Village Makati,THE COLUMNS LEGAZPI VILLAGE,THE COLUMNS LEGAZPI VILLAGE,30 sqm,30 sqm,"₱ 9,000,000","Legazpi Village, Makati",1 bedroom,1 bathroom,,Unfurnished,Studio,For Sale,,1,,https://www.lamudi.com.ph/projects/the-columns-legazpi-village/,KB REALTY
"Rush Sale - 2 Bedroom Unit in Garden Tower 2, Makati City, Metro Manila",Garden Towers,Garden Towers,137 sqm,137 sqm,"₱ 42,000,000","Makati, Metro Manila",2 bedrooms,3 bathrooms,40,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/garden-towers-1/,Property PH
"FIRE SALE-3BR in Proscenium Kirov,Rockwell Makati",,,224 sqm,224 sqm,"₱ 87,500,000","Rockwell, Makati",3 bedrooms,4 bathrooms,28,Fully furnished,Condo,For Sale,,,,,Property PH
"RUSH SALE-3BR in Proscenium Kirov,Rockwell Makati",,,224 sqm,224 sqm,"₱ 88,000,000","Makati, Metro Manila",3 bedrooms,4 bathrooms,28,Fully furnished,Condo,For Sale,,,,,Property PH
RUSH SALE-Studio unit in One ROckwell East,One Rockwell,One Rockwell,27 sqm,27 sqm,"₱ 8,499,999","Makati, Metro Manila",1 bedroom,1 bathroom,35,Unfurnished,Studio,For Sale,,,,https://www.lamudi.com.ph/projects/one-rockwell/,Property PH
"SUPER RUSH SALE-3BR in Proscenium Kirov ,Rockwell Makati",Proscenium at Rockwell,Proscenium at Rockwell,223 sqm,223 sqm,"₱ 82,000,000","Guadalupe Viejo, Makati",3 bedrooms,4 bathrooms,10,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/proscenium-at-rockwell-1/,Property PH
"SUPER RUSH SALE-3BR in Proscenium Kirov ,Rockwell Makati",,,223 sqm,223 sqm,"₱ 79,000,000","Rockwell, Makati",3 bedrooms,4 bathrooms,,Unfurnished,Condo,For Sale,,,,,Property PH
RUSH SALE-1BR unit and Parking in Shang Salcedo Makati,Shang Salcedo Place,Shang Salcedo Place,53 sqm,53 sqm,"₱ 16,800,000","Bel-Air, Makati",1 bedroom,1 bathroom,,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/shang-salcedo-place/,Property PH
"RUSH SALE-3BR in Two Roxas Triangle,Makati",Two Roxas Triangle,Two Roxas Triangle,304 sqm,304 sqm,"₱ 132,000,000","Urdaneta, Makati",3 bedrooms,4 bathrooms,33,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/two-roxas-triangle/,Property PH
"RUSH SALE-3BR in Two Roxas Triangle,Makati",Two Roxas Triangle,Two Roxas Triangle,304 sqm,304 sqm,"₱ 132,000,000","Urdaneta, Makati",3 bedrooms,3 bathrooms,,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/two-roxas-triangle/,Property PH
"RUSH SALE-3BR in Two Roxas Triangle ,Makati",Two Roxas Triangle,Two Roxas Triangle,304 sqm,304 sqm,"₱ 139,000,000","Urdaneta, Makati",3 bedrooms,4 bathrooms,46,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/two-roxas-triangle/,Property PH
