REGION,INSTITUTION_NAME,INSTITUTION_TYPE,PROVINCE,MUNICIPALITY_CITY,FULL_ADDRESS
13 - Nat. Capital Region,Makati Medical Center College,Private,Metro Manila,Makati,"Makati Medical Center College, Makati, Metro Manila, Philippines"
13 - Nat. Capital Region,Republican College,Private,Metro Manila,Quezon City,"Republican College, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Rizal Technological University,SUC,Metro Manila,Mandaluyong,"Rizal Technological University, Mandaluyong, Metro Manila, Philippines"
13 - Nat. Capital Region,Roosevelt College-Marikina,Private,Metro Manila,Marikina,"Roosevelt College-Marikina, Marikina, Metro Manila, Philippines"
13 - Nat. Capital Region,Saint Francis of Assisi College,Private,Metro Manila,Las Piñas,"Saint Francis of Assisi College, Las Piñas, Metro Manila, Philippines"
13 - Nat. Capital Region,St. Joseph's College of Quezon City,Private,Metro Manila,Quezon City,"St. Joseph's College of Quezon City, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,St. Jude College,Private,Metro Manila,Manila,"St. Jude College, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,St. Paul University-Manila,Private,Metro Manila,Manila,"St. Paul University-Manila, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,St. Paul University-Quezon City,Private,Metro Manila,Quezon City,"St. Paul University-Quezon City, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Saint Rita College-Manila,Private,Metro Manila,Manila,"Saint Rita College-Manila, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,St. Scholastica's College,Private,Metro Manila,Manila,"St. Scholastica's College, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Samson College of Science and Technology-Quezon City,Private,Metro Manila,Quezon City,"Samson College of Science and Technology-Quezon City, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,San Beda University,Private,Metro Manila,Manila,"San Beda University, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,San Carlos Seminary,Private,Metro Manila,Makati,"San Carlos Seminary, Makati, Metro Manila, Philippines"
13 - Nat. Capital Region,San Juan de Dios Educational Foundation,Private,Metro Manila,Pasay,"San Juan de Dios Educational Foundation, Pasay, Metro Manila, Philippines"
13 - Nat. Capital Region,San Sebastian College-Recoletos,Private,Metro Manila,Manila,"San Sebastian College-Recoletos, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Santa Isabel College of Manila,Private,Metro Manila,Manila,"Santa Isabel College of Manila, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Siena College,Private,Metro Manila,Quezon City,"Siena College, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Southeastern College,Private,Metro Manila,Pasay,"Southeastern College, Pasay, Metro Manila, Philippines"
13 - Nat. Capital Region,St. Luke's College of Medicine-William H. Quasha Memorial,Private,Metro Manila,Quezon City,"St. Luke's College of Medicine-William H. Quasha Memorial, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Stella Maris College,Private,Metro Manila,Quezon City,"Stella Maris College, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Systems Plus Computer College-Quezon City,Private,Metro Manila,Quezon City,"Systems Plus Computer College-Quezon City, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Technological Institute of the Philippines-Manila,Private,Metro Manila,Manila,"Technological Institute of the Philippines-Manila, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Technological Institute of the Philippines-Quezon City,Private,Metro Manila,Quezon City,"Technological Institute of the Philippines-Quezon City, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Technological University of the Philippines-Manila,SUC,Metro Manila,Manila,"Technological University of the Philippines-Manila, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Trinity University of Asia,Private,Metro Manila,Quezon City,"Trinity University of Asia, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Technological University of the Philippines-Taguig,SUC,Metro Manila,Taguig,"Technological University of the Philippines-Taguig, Taguig, Metro Manila, Philippines"
13 - Nat. Capital Region,Unciano Colleges and General Hospital,Private,Metro Manila,Manila,"Unciano Colleges and General Hospital, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Southeast Asian College,Private,Metro Manila,Quezon City,"Southeast Asian College, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,University of the East-Ramon Magsaysay Memorial Medical Center,Private,Metro Manila,Quezon City,"University of the East-Ramon Magsaysay Memorial Medical Center, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,The University of Manila,Private,Metro Manila,Manila,"The University of Manila, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,University of Santo Tomas,Private,Metro Manila,Manila,"University of Santo Tomas, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,University of the East-Manila,Private,Metro Manila,Manila,"University of the East-Manila, Manila, Metro Manila, Philippines"
